SiteName,Lat(deg),Long(deg),Volume(Mm^3),Density(kg/m^3),PondRadius(m)
a,-20.42355833,-43.75310278,2.820902,1594,125.5109553
b,-20.04761111,-43.95436111,2.685782,1594,124.67492
c,-20.25048333,-43.93249167,4.1,1594,145.6731241
d,-20.06480556,-44.02922222,0.515,1594,59.05813785
e,-20.10352778,-44.28819444,0.657575,1594,55.48086891
f,-20.11043056,-44.28667222,2.2,1594,93.56025796
g,-20.48583333,-43.88583333,13.001821,1594,252.3309232
h,-20.14758333,-44.40616667,2.918722,1594,126.5631959
i,-20.13758333,-44.39616667,5.25,1594,137.028124
j,-20.17606806,-43.48731667,22.978889,1594,271.4031932
k,-20.29044861,-43.49052778,37.683207,1594,394.6877334
l,-20.40605556,-43.85572222,12.763176,1594,203.2954617
m,-20.40827778,-43.85180556,22.778397,1594,279.2191292
n,-20.41091667,-43.83661111,19.476113,1594,283.746716
o,-20.41477778,-43.86513889,1.961714,1594,118.9531496
p,-19.82004722,-43.70888611,1.597527,1594,73.16230245
q,-19.97017556,-43.59686694,6.016849,1594,150.1067275
r,-20.16633944,-43.48429139,6.17,1594,167.5014711
